timestep,average_reward
3200,-960.8977017159274
6400,-3.635495881167368
9600,-2.463510165066053
12800,-2.8492721164349977
16000,-7.584396560402122
19200,-11.986521154716348
22400,-21.680667716925115
25600,-23.408210603853714
28800,-18.812343369728943
32000,-29.20326877012175
35200,-23.42189494949105
38400,-23.804101747015302
41600,-21.25786957506831
44800,-18.19556370523107
48000,-13.70555332513969
51200,-8.014965994580237
54400,-6.532978705830422
57600,-9.552301556814022
60800,-8.791786538609953
64000,-7.239810191553239
67200,-5.850353054167621
70400,-5.006065503488336
73600,-6.382652608561077
76800,-4.284107406628195
80000,-5.067701564618682
83200,-4.544871012132337
86400,-1.8007230787767055
89600,-2.6342438113345508
92800,-1.8470455056313408
96000,-3.522591800183831
99200,-1.8066840315550992
