avg_test_reward,MAE_speed,RMSE_speed,jerk_mean,jerk_var,in_range_pct,Training Time,Corr Coeff,chunk_size,learning_rate,batch_size,buffer,gamma,tau,total_timesteps,timestamp
-7.718626752204869,2.484959605137507,3.2525746338562542,0.0001063128312428,41.16964230470056,82.25,95.11,0.7165602610130818,50,0.0003,256,1000000,0.98,0.002,100000,102902
-12.053174194059034,2.554169640143712,3.290621026673932,-0.0021876951058705,82.77450897378493,84.75,97.89,0.6801063649844354,400,0.0003,512,1000000,0.98,0.005,100000,124932
-9.436877439249455,2.6263891719902555,3.415087621667128,-0.0037700643142064,57.33440571564281,82.83333333333334,117.15,0.7023990313393993,100,0.0003,256,1000000,0.98,0.002,100000,112432
-10.92986017386366,2.6388865981251,3.419975254703328,-0.0032792091369628,72.46371695587285,81.0,98.03,0.6762882369191003,50,0.0003,256,1000000,0.95,0.005,100000,102642
-9.880733950342428,2.61991049370418,3.423483923607119,-0.0015725831190745,61.91413784052564,83.91666666666666,94.9,0.6987979670525595,50,0.0003,256,1000000,0.99,0.005,100000,103554
-6.410401857488923,2.625852062702179,3.4356001623376797,-0.0005759626626968,25.30465021185777,77.66666666666666,94.77,0.691264071739338,100,0.0003,512,500000,0.98,0.005,100000,114046
-7.767682594559158,2.604478194899857,3.436682391501552,0.0014259378115336,39.001293252753406,79.16666666666666,96.93,0.7047663866750953,400,0.0003,256,1000000,0.95,0.005,100000,121715
-9.363868676365117,2.676630512314538,3.438457016724568,0.0004460990428924,55.4500595330063,75.58333333333334,98.19,0.6800434755484716,100,0.0003,256,500000,0.99,0.002,100000,111509
-9.852602930597278,2.6002527777229747,3.4420314868484927,-0.0027817616860071,58.56270404361623,69.83333333333334,97.08,0.7006449325322249,400,0.0003,256,1000000,0.99,0.005,100000,122627
-8.413871647293314,2.663553152966003,3.445508033625732,-0.0018475284179051,47.35038501773366,79.75,97.35,0.6767753641838345,50,0.0003,256,500000,0.99,0.005,100000,102203
-7.7136273403294915,2.6138977901265026,3.4465438774055563,0.0031963209311167,37.25271414096295,72.83333333333334,98.04,0.7143673289026401,50,0.0003,512,1000000,0.99,0.005,100000,110342
-7.39770640266371,2.7036615273728968,3.457688290601225,-0.0007991125186284,33.90725783378343,71.25,96.04,0.6755098253690659,100,0.0003,512,1000000,0.99,0.002,100000,115650
-7.14068558703729,2.703122267511984,3.465306959650845,0.0017089525858561,32.61999324481239,72.58333333333333,97.77,0.6783609877149521,400,0.0003,512,500000,0.98,0.005,100000,123540
-7.35542375199779,2.6846945877745747,3.471057983004401,-0.0015068252881368,36.15489326201443,78.41666666666667,101.63,0.6757627874796857,50,0.0003,512,1000000,0.98,0.005,100000,105859
-7.613714454630238,2.6806066205228367,3.479841252693613,-0.0013082236051559,38.66339874429755,83.41666666666666,96.81,0.6818522789453536,50,0.0003,256,500000,0.98,0.005,100000,101722
-8.420046674575728,2.681544479392469,3.4887782660098194,-0.0012856890757878,43.27575685472469,69.91666666666667,94.12,0.6812042074938117,100,0.0003,256,1000000,0.99,0.002,100000,112929
-9.292404113986752,2.694731453210116,3.5206213730384377,-0.0028309990962346,52.79248639088376,76.16666666666667,96.62,0.6853501928026422,100,0.0003,256,500000,0.99,0.005,100000,111735
-8.991879547972143,2.7276047413423656,3.544872402178466,-0.0043603926897048,46.73647384725131,66.83333333333333,98.06,0.6655308727737556,400,0.0003,512,500000,0.99,0.005,100000,124017
-8.230746861425349,2.7532785051812727,3.545762487298196,-0.0026203840970993,43.46448667658066,70.58333333333333,101.54,0.6648785341687838,50,0.0003,256,500000,0.95,0.005,100000,101234
-8.139588160693073,2.721756446373959,3.5473858253823463,-0.0015703360239664,41.135404764329856,79.91666666666667,97.25,0.691395643381945,50,0.0003,512,500000,0.95,0.005,100000,104031
-10.930815784380195,2.796163760957618,3.551269212995129,-0.0035154749949773,67.36340765652365,64.66666666666666,96.11,0.6541528446828048,50,0.0003,512,500000,0.98,0.005,100000,104510
-7.370236206859133,2.7281186737120158,3.5540291703655047,0.0011527975400288,31.20102990756668,70.16666666666667,94.4,0.696709710740732,100,0.0003,256,500000,0.98,0.002,100000,111035
-7.239063099326313,2.744734341042737,3.555536850883049,-0.000808764497439,32.30846013807786,76.08333333333334,95.62,0.6910322674072573,100,0.0003,512,1000000,0.95,0.002,100000,114739
-7.626731489100106,2.751841980032623,3.558348798108864,-0.0015345881382624,36.973212721092736,75.25,101.07,0.6830646721757312,50,0.0003,256,500000,0.98,0.002,100000,101458
-8.016678745702148,2.735367391941448,3.5585633110322843,-0.0030433932940165,38.66993985047254,69.75,103.62,0.6806169364602495,50,0.0003,256,500000,0.95,0.002,100000,101006
-7.104769214011301,2.7219687001158794,3.558704216303965,-0.0001745959122975,30.63022606763569,82.25,95.86,0.6882232991687905,50,0.0003,256,1000000,0.98,0.005,100000,103120
-10.697552242367186,2.781029222508272,3.56034783263801,-0.0035206327835718,65.59701979393047,63.5,97.37,0.6720091575791619,400,0.0003,256,1000000,0.98,0.005,100000,122151
-6.995329015855852,2.7129063599308334,3.5619161374940083,0.0010749081770579,26.06112106337531,71.41666666666666,94.52,0.72186753564025,100,0.0003,512,500000,0.95,0.002,100000,113359
-7.08563359272446,2.758216598195334,3.566053194209397,-0.0003184775511423,31.1859513176048,74.75,95.45,0.6958775804329883,50,0.0003,512,1000000,0.98,0.002,100000,105642
-9.156666042799989,2.7582112190748256,3.5785387832159192,-0.0027847458918889,50.06627111466518,69.5,93.87,0.6763218320776391,400,0.0003,256,500000,0.95,0.005,100000,120342
-7.111522645583042,2.7433158706625305,3.5829607186794217,-0.0022813528776168,26.86670130559044,66.08333333333334,98.16,0.6839612370104584,50,0.0003,512,500000,0.98,0.002,100000,104250
-6.44995368905384,2.786292763352394,3.583639536106014,0.0013496359189351,19.00973425842203,64.08333333333334,98.14,0.6736326544432807,400,0.0003,512,500000,0.95,0.002,100000,122844
-7.750838258577393,2.777787983852128,3.586262320844493,-0.001952189207077,35.9937526531408,69.5,99.16,0.6817181651316152,50,0.0003,256,500000,0.99,0.002,100000,101941
-6.836702220456354,2.7943460473294057,3.586522457655449,-0.0009311586618423,28.35048866544701,64.5,95.54,0.6749621766999113,50,0.0003,512,1000000,0.95,0.005,100000,105425
-7.050411868669029,2.701745078253249,3.5901752904396305,0.0038305242856343,26.308340000676463,76.41666666666667,93.93,0.7113903931305884,100,0.0003,256,1000000,0.98,0.005,100000,112712
-11.575299529304326,2.7778678407892583,3.5933793416689404,-0.0056088904539744,75.25715629700967,74.25,94.5,0.6696562145981158,100,0.0003,256,500000,0.95,0.005,100000,110819
-9.511942148262662,2.7231868704160056,3.597831488886009,-0.0010299295186996,47.34793709349155,63.83333333333333,96.11,0.712365570253529,100,0.0003,512,500000,0.99,0.005,100000,114521
-7.251503873570406,2.7927580257877707,3.607629334929422,0.000883944829305,21.07713815256775,59.91666666666666,97.9,0.6780191509547987,400,0.0003,512,500000,0.95,0.005,100000,123103
-6.345979129472816,2.784683058274289,3.6081287002456497,0.0006143490473429,21.72996894210706,70.16666666666667,97.72,0.688984256201211,50,0.0003,512,500000,0.95,0.002,100000,103811
-7.027194878116135,2.795322888965408,3.612696576364254,-0.001021921634674,28.85721220315059,70.66666666666667,94.92,0.6859819890886549,50,0.0003,256,1000000,0.99,0.002,100000,103338
-8.413566284115905,2.785930047171812,3.6251453319893914,-5.2595138549804686e-05,37.67461119310019,63.83333333333333,99.14,0.6974862401729812,50,0.0003,512,1000000,0.99,0.002,100000,110122
-6.174564518153392,2.85718951591601,3.6283166225746406,-0.0013766328493754,17.774537680543332,55.25,94.2,0.6579562765224035,400,0.0003,256,500000,0.95,0.002,100000,120126
-8.489038896655217,2.850390867044528,3.6430605194109313,-0.0014649579922358,41.385266953102416,61.16666666666667,98.0,0.6591789672770499,50,0.0003,512,500000,0.99,0.002,100000,104728
-9.76455690104609,2.8368394836907584,3.6458729939088648,0.0025155782699584,54.89800857544404,64.41666666666667,98.83,0.6576179179536799,50,0.0003,512,500000,0.99,0.005,100000,104947
-10.86931367730712,2.842051755251984,3.656617774613267,0.0035230179627736,59.32916935846366,60.75000000000001,94.18,0.6750882443049764,100,0.0003,256,1000000,0.99,0.005,100000,113144
-8.267762109503217,2.824294912181794,3.657115761022585,-0.0003528704245885,32.38282383791608,60.41666666666666,98.18,0.6809002487327793,400,0.0003,512,1000000,0.98,0.002,100000,124713
-5.590228852032186,2.8169766543681423,3.658121449132199,-0.000564623872439,14.44083228907836,78.66666666666666,97.13,0.6913855501038431,50,0.0003,512,1000000,0.95,0.002,100000,105207
-8.364262339060465,2.822001593448222,3.660235656494775,-0.0016421198844909,39.66341676887656,69.58333333333333,96.63,0.6855173043229539,50,0.0003,256,1000000,0.95,0.002,100000,102422
