timestep,average_reward
3200,-1248.6266500720649
6400,-12180.880956706316
9600,-1.9200213353821822
12800,-2.7466548941329902
16000,-1.9900833147247932
19200,-2.2569851881572363
22400,-5.48973752940451
25600,-8.21438839634933
28800,-14.482465742448541
32000,-16.655744079976
35200,-19.645203203786238
38400,-35.956269369249334
41600,-35.02044009183882
44800,-25.04894360231785
48000,-22.471708347837335
51200,-21.604460101544635
54400,-19.362320570557344
57600,-18.94300334882995
60800,-13.387657417823181
64000,-21.921347124129987
67200,-16.664254778920025
70400,-23.218119605647942
73600,-20.47259099311904
76800,-18.857734062428854
80000,-13.711863454756198
83200,-19.481203754600152
86400,-15.0648347590617
89600,-14.722285140612742
92800,-18.584876618923676
96000,-20.33731993927196
99200,-20.629698741008532
