avg_test_reward,MAE_speed,RMSE_speed,jerk_mean,jerk_var,in_range_pct,Training Time,Corr Coeff,chunk_size,learning_rate,batch_size,total_timesteps,gamma,ent_coeff,timestamp,,
-3692.906017,100.7237574,120.5971248,0.016666667,0.066098104,1.916666667,29.94,-0.114211514,100,0.0003,256,100000,0.95,0.001,131709,,
-2881.259325,85.514237,105.5599885,0.016666667,0.018979513,1.75,23.41,-0.113993121,100,0.0003,512,100000,0.95,0.005,134448,,
-427.8712095,6.460423232,7.815167561,0.001207141,0.000150518,0.75,132.53,-0.107076513,400,0.0003,256,500000,0.99,0.001,141535,,
-503.7172285,7.160575498,8.455836707,0.000936904,0.00040381,0.75,24.45,-0.107617855,100,0.0003,512,100000,0.99,0.005,135513,,
-527.9501722,7.61451467,8.847775893,0.000734169,0.000797094,0.75,29.73,-0.108829279,100,0.0003,256,100000,0.99,0.005,133318,,
-614.0792857,10.06987765,10.88436592,-0.013445116,0.143837259,0.75,31.06,0.31447123,50,0.0003,256,100000,0.95,0.01,123956,,
-621.7315462,10.13879663,10.96928239,-0.004962348,0.00015196,0.75,23.51,,100,0.0003,512,100000,0.99,0.001,135144,,
-621.7315541,10.13879663,10.96928239,-0.001700029,0.000253183,0.75,29.86,,100,0.0003,256,100000,0.99,0.01,133720,,
-621.7315672,10.13879663,10.96928239,-0.0060371,0.000350537,0.75,103.79,,400,0.0003,512,500000,0.99,0.001,143755,,
-621.731641,10.13879663,10.96928239,-0.016666667,0.000846791,0.75,130.64,,400,0.0003,256,500000,0.99,0.005,141938,,
-621.7316788,10.13879663,10.96928239,-0.016666667,0.001224555,0.75,103.39,,400,0.0003,512,500000,0.99,0.01,144450,,
-621.7317588,10.13879663,10.96928239,-0.016666667,0.002025288,0.75,29.93,,400,0.0003,256,100000,0.95,0.005,140617,,
-621.7319325,10.13879663,10.96928239,-0.016666667,0.003762291,0.75,30.01,,400,0.0003,256,100000,0.99,0.001,141425,,
-621.7319577,10.13879663,10.96928239,-0.016666667,0.004013726,0.75,23.48,,400,0.0003,512,100000,0.95,0.01,143326,,
-621.7320052,10.13879663,10.96928239,-0.016666667,0.004489156,0.75,23.39,,400,0.0003,512,100000,0.99,0.01,144346,,
-621.7321659,10.13879663,10.96928239,-0.016666667,0.006096266,0.75,29.63,,400,0.0003,256,100000,0.99,0.005,141828,,
-621.7322842,10.13879663,10.96928239,-0.016666667,0.007279339,0.75,132.88,,100,0.0003,256,500000,0.95,0.001,131819,,
-621.7323045,10.13879663,10.96928239,-0.016666667,0.007482165,0.75,29.97,,100,0.0003,256,100000,0.99,0.001,132917,,
-621.7324785,10.13879663,10.96928239,-0.016666667,0.009221982,0.75,105.05,,100,0.0003,512,500000,0.95,0.01,134918,,
-621.7328639,10.13879663,10.96928239,-0.016666667,0.013075964,0.75,132.56,,100,0.0003,256,500000,0.95,0.01,132625,,
-621.7329571,10.13879663,10.96928239,-0.016666667,0.014007974,0.75,102.97,,400,0.0003,512,500000,0.95,0.001,142734,,
-621.7330029,10.13879663,10.96928239,-0.016666667,0.014466074,0.75,30.31,,100,0.0003,256,100000,0.95,0.005,132112,,
-621.7331599,10.13879663,10.96928239,-0.016666667,0.016035714,0.75,131.28,,100,0.0003,256,500000,0.95,0.005,132223,,
-621.7338599,10.13879663,10.96928239,-0.016666667,0.023035959,0.75,102.91,,100,0.0003,512,500000,0.95,0.005,134552,,
-621.7341121,10.13879663,10.96928239,-0.016666667,0.025557593,0.75,23.33,,400,0.0003,512,100000,0.95,0.005,142958,,
-621.7359688,10.13879663,10.96928239,-0.016666667,0.044125292,0.75,102.97,,400,0.0003,512,500000,0.95,0.005,143102,,
-621.7367092,10.13879663,10.96928239,-0.016666667,0.051528989,0.75,30.45,,400,0.0003,256,100000,0.95,0.001,140213,,
-621.7376821,10.13879663,10.96928239,-0.016666667,0.0612582,0.75,30.15,,400,0.0003,256,100000,0.95,0.01,141020,,
-621.7505807,10.13879663,10.96928239,-0.016666667,0.190244264,0.75,133.59,,400,0.0003,256,500000,0.95,0.01,141130,,
