timestep,average_reward
3200,-1248.850833469568
6400,-757.796357286408
9600,-2.9840816171642404
12800,-2.926253994108032
16000,-2.289532765467679
19200,-2.199504000027626
22400,-2.304188085154342
25600,-2.792933921535034
28800,-1.9674971571352973
32000,-2.076651813110593
35200,-2.5190957343836144
38400,-1.9301196074281186
41600,-2.4975742606580944
44800,-1.7036941753814216
48000,-2.401279943198184
51200,-2.2647404243943083
54400,-1.9469106650782877
57600,-1.8092612782333388
60800,-1.6756831349086097
64000,-1.8835726617248236
67200,-1.6299502165867477
70400,-1.6857623241688335
73600,-2.5315523075741493
76800,-1.6041443287903707
80000,-2.1783710335536277
83200,-1.6987022522641626
86400,-1.5772657157226662
89600,-2.03015068528882
92800,-1.780529583619623
96000,-2.2170845965387658
99200,-2.5146784708737226
