timestep,average_reward
3200,-363.50448871816945
6400,-3.871223678648259
9600,-2.091037170328453
12800,-2.4562430444068912
16000,-3.3513946768944503
19200,-3.08629079562457
22400,-2.497940413795162
25600,-3.2391289081787717
28800,-2.2996319259432894
32000,-2.1025776896058046
35200,-1.8405987653611036
38400,-1.813602023987442
41600,-1.5382711902862085
44800,-2.2999909219301147
48000,-2.35420709886324
51200,-1.912687607802759
54400,-2.0840010889693574
57600,-1.599551748485873
60800,-2.2360492696584653
64000,-1.572797706563522
67200,-1.615671565955283
70400,-2.1473541993826553
73600,-2.1198962313577794
76800,-1.8561153418154583
80000,-2.082584878568875
83200,-2.383265524621402
86400,-1.7514892180649844
89600,-2.123473089250668
92800,-1.6480134041928745
96000,-1.4041641361650232
99200,-1.647636075264044
