timestep,average_reward
3200,-143.97950867134398
6400,-2.2701055548768845
9600,-3.422289612430899
12800,-4.482141868088002
16000,-4.209129143788215
19200,-2.432067194636844
22400,-1.8421297032562285
25600,-1.6070508338442366
28800,-1.5930979926096678
32000,-1.9558829820739687
35200,-2.717047900978305
38400,-1.9342195773361255
41600,-2.6928361856054686
44800,-2.296671838080624
48000,-2.759781020947082
51200,-2.4659558167678526
54400,-2.8574343013358146
57600,-2.8131802768911824
60800,-1.9384042189668844
64000,-2.7633425443607793
67200,-1.8272463696149097
70400,-2.0508673945993836
73600,-2.2193746048176086
76800,-2.2629122115173868
80000,-1.686294554375292
83200,-2.1546690771724006
86400,-2.418628072515621
89600,-1.8356519876888393
92800,-2.7037165819349314
96000,-2.7519649554170353
99200,-2.101114085899386
