timestep,average_reward
3200,-454.54228248797466
6400,-22134.849018165114
9600,-49898.93152109122
12800,-49388.66195707655
16000,-49821.19873212827
19200,-2.8069381264643765
22400,-2.897675340909957
25600,-3.3834334283269833
28800,-3.9771744502930266
32000,-8.27279004196314
35200,-5.523407490314785
38400,-5.733170342600285
41600,-8.30373280995177
44800,-2.199273283282171
48000,-2.0787975542465387
51200,-1.7638787654861021
54400,-1.466492624707712
57600,-1.4764595204789446
60800,-2.2529346777502055
64000,-1.323178453372273
67200,-2.4090576675880655
70400,-1.8027890354630687
73600,-1.9256404335492323
76800,-1.3581258285524092
80000,-1.703557483750701
83200,-1.2673523085414473
86400,-1.2896925839850002
89600,-2.2224100759152066
92800,-1.6610325120268306
96000,-2.237382038672223
99200,-2.1823111419780306
