timestep,average_reward
3200,-1073.205017057419
6400,-1996.8900010575726
9600,-50139.19983423737
12800,-49389.035927633384
16000,-50058.23455183628
19200,-2.352172838478621
22400,-1.9218262286927377
25600,-4.74785888613132
28800,-6.376782871504904
32000,-4.818999756565037
35200,-2.1736030826860304
38400,-2.2264553247253924
41600,-2.985109832730203
44800,-2.7114886178757245
48000,-2.1441186298439567
51200,-2.6401257791292285
54400,-1.9781625257314497
57600,-2.6278744356061283
60800,-2.014065976484848
64000,-2.3792226688334996
67200,-2.7701300585837147
70400,-2.3834382780179215
73600,-3.097168878796138
76800,-2.2765304603528147
80000,-2.7840778630183696
83200,-3.1085751700004165
86400,-3.1414441315209864
89600,-3.6570418555942514
92800,-5.631032017089165
96000,-5.23215421661401
99200,-7.559650627523886
