timestep,average_reward
3200,-140.20271925793736
6400,-7.339701064842626
9600,-2.234883769327603
12800,-2.3143019903433846
16000,-2.149121723140674
19200,-2.025107879002532
22400,-2.5069565014988426
25600,-2.021188654832747
28800,-1.6673862094232326
32000,-1.8720818010522668
35200,-1.8274143991801863
38400,-1.5133311760800523
41600,-2.3674241309172634
44800,-1.6714305562649099
48000,-1.4727503048406063
51200,-1.5916678184560515
54400,-1.600500698417058
57600,-2.057734669661597
60800,-2.3174708162741022
64000,-2.2878871202045072
67200,-1.5943382587007597
70400,-1.3973236342856066
73600,-1.382818662977972
76800,-2.2756295025711952
80000,-2.1554554668161203
83200,-1.3927425065524173
86400,-1.6941871308559273
89600,-1.6839679525297118
92800,-2.3933004896792256
96000,-1.8439677938123884
99200,-1.5459355024648724
