timestep,average_reward
3200,-153.77348627753207
6400,-29.02108900760473
9600,-2.354530937190884
12800,-2.607506296678989
16000,-2.2758923515236074
19200,-1.6468026637614337
22400,-1.4782366225567796
25600,-1.4584434423692596
28800,-1.8141937923819291
32000,-1.4223951957312115
35200,-2.1198901050093046
38400,-1.3049948799199436
41600,-1.8370896613974341
44800,-2.132496177208169
48000,-1.2731118403184827
51200,-1.6162907511032845
54400,-1.4238143629520232
57600,-1.2765226457393681
60800,-1.907337842129565
64000,-1.6043999581512514
67200,-1.8348219544669042
70400,-1.973754973848374
73600,-1.4723942146358977
76800,-1.4500971602779669
80000,-1.9068099916901238
83200,-1.5861779934715496
86400,-1.6317984254429703
89600,-1.4674534856949188
92800,-1.5860213555346876
96000,-1.493600558044536
99200,-2.306251700342924
