timestep,average_reward
400,-64.42345826552044
800,-12.137505162057169
1200,-325.91949218364965
1600,-235.186197411923
2000,-137.82667299529857
2400,-324.97969684638053
2800,-464.66267919873724
3200,-489.40796834908724
3600,-491.8459915785656
4000,-549.0320381256286
4400,-517.9966878279026
4800,-491.4097647117713
5200,-731.5974764769394
5600,-632.0478844395141
6000,-536.2905146423433
6400,-730.5403472992315
6800,-495.1981062621173
7200,-654.6092224094778
7600,-712.9502725135285
8000,-710.9907518607351
8400,-633.3409507020115
8800,-721.7680421171567
9200,-558.9073982879617
9600,-721.9852515139148
10000,-545.2350085487562
10400,-494.66724974897227
10800,-695.8469631777377
11200,-532.0483952783786
11600,-714.1305858093318
12000,-695.4387370400888
12400,-717.2201213524455
12800,-721.1133462653584
13200,-557.5233434765828
13600,-644.9972688802943
14000,-516.7716848655059
14400,-490.47662213889225
14800,-727.0714063799048
15200,-503.16923207934553
15600,-541.9101320861304
16000,-490.04271335213326
16400,-475.9636756478464
16800,-543.4412602489316
17200,-642.7527719821609
17600,-732.8270449058963
18000,-596.0623364140519
18400,-476.57423832596015
18800,-698.6994754059929
19200,-639.4424018515336
19600,-540.6201957700043
20000,-606.7244549300466
20400,-552.284103164114
20800,-513.4225223988092
21200,-735.8156712743516
21600,-727.8203243591902
22000,-513.4440592717332
22400,-526.1179955435605
22800,-735.5680536296873
23200,-737.667096402679
23600,-497.10646193266757
24000,-481.4793666533817
24400,-645.8526431637578
24800,-706.8284107297897
25200,-704.1744814593985
25600,-654.8591717078012
26000,-513.3839304770935
26400,-533.9296732503265
26800,-557.3008950599889
27200,-731.7152591970466
27600,-525.2722129640268
28000,-530.1027940575842
28400,-559.2511510947868
28800,-524.8179248267741
29200,-554.7503920043509
29600,-718.8397616445538
30000,-515.3262969324744
30400,-503.24113855954135
30800,-715.7581723493723
31200,-505.71521849086787
31600,-645.7467589344992
32000,-601.6729538408608
32400,-729.3347771560522
32800,-701.3732495559991
33200,-663.856416261668
33600,-647.7898524855218
34000,-137.4141941718073
34400,-316.1995115238141
34800,-123.68739891572086
35200,-294.03538432721945
35600,-231.06774785525454
36000,-210.93750375316876
36400,-116.48593419765373
36800,-156.61239130823992
37200,-360.7772563035058
37600,-372.0985286629992
38000,-263.10358165405205
38400,-254.7952912117115
38800,-125.25283276589164
39200,-127.41145839104821
39600,-254.92504330778596
40000,-259.6624976701515
40400,-363.49167086057884
40800,-362.40277930389493
41200,-307.06054355721574
41600,-224.65213357658988
42000,-222.68428888546399
42400,-222.4047996779818
42800,-131.66497490455805
43200,-134.8433082030358
43600,-139.38822813623216
44000,-309.6935178108839
44400,-130.35873246473068
44800,-230.05734629159465
45200,-258.4398872989772
45600,-310.3864504136438
46000,-228.06610042398327
46400,-132.34974095929604
46800,-363.2292042241292
47200,-361.026007474456
47600,-152.77267269083833
48000,-142.86714525853742
48400,-127.59447672830389
48800,-134.8466874261532
49200,-125.5693419363638
49600,-220.38357055859683
50000,-228.47898574973567
50400,-138.79567336433206
50800,-220.60158543647577
51200,-151.78026748925978
51600,-305.0254443869792
52000,-371.1703598795767
52400,-262.5486549766667
52800,-155.7011746770103
53200,-355.14355118775427
53600,-376.3096588513963
54000,-321.4390311546296
54400,-309.248540544145
54800,-225.53322240335655
55200,-354.6922241476288
55600,-380.98524355082185
56000,-140.38913857995064
56400,-129.46792812019476
56800,-131.20124034367242
57200,-202.6651225324236
57600,-324.3599338734277
58000,-112.35793184765598
58400,-309.66811749515284
58800,-139.7632439425173
59200,-138.47845570336412
59600,-389.2757046896917
60000,-202.61365648546987
60400,-315.6803215884692
60800,-327.6247766126448
61200,-213.45571331671093
61600,-237.6232939949688
62000,-132.66902740045592
62400,-325.0733410720986
62800,-220.28152471040875
63200,-208.62580373276742
63600,-253.44514131043036
64000,-234.27793364386508
64400,-228.5718708281748
64800,-214.63714650670343
65200,-125.39182184417372
65600,-331.859120832384
66000,-354.4117495210223
66400,-228.46417198551327
66800,-376.04871824146
67200,-201.92975935054812
67600,-373.9946358389563
68000,-260.7980694877399
68400,-329.44427538428613
68800,-129.5896585315722
69200,-307.92651486187805
69600,-123.87915497292767
70000,-380.9102541995869
70400,-257.095021800262
70800,-254.23894910873435
71200,-301.7496809810675
71600,-202.3435696432248
72000,-129.01439920162468
72400,-357.2969338017107
72800,-323.8427228710265
73200,-126.33528262898372
73600,-316.21833069653064
74000,-334.20632222760435
74400,-357.0088463151141
74800,-302.23601763130057
75200,-349.1772331727968
75600,-372.6610599360658
76000,-251.39373698629737
76400,-348.8709160812995
76800,-357.0015812602736
77200,-378.61721666181404
77600,-231.922700638503
78000,-110.6738283088454
78400,-157.0051935752586
78800,-85.85891150935255
79200,-22.309926298778
79600,-82.08672287633497
80000,-104.48325734825352
80400,-138.39630763174358
80800,-87.73018756888627
81200,-171.5187641087184
81600,-168.2925064924165
82000,-56.57129199614986
82400,-171.40223477086695
82800,-64.73935839381332
83200,-104.37316877707516
83600,-126.15808680531262
84000,-64.17592615055668
84400,-219.66233464249422
84800,-91.57824723103242
85200,-220.73558993139363
85600,-81.96932762670271
86000,-228.1933603819717
86400,-207.48851388171104
86800,-142.0029950903299
87200,-112.8104060030889
87600,-261.0536456859939
88000,-147.28422923201984
88400,-90.9462592985523
88800,-256.1429257001397
89200,-240.5776147350058
89600,-181.337344818421
90000,-117.36492390647204
90400,-238.1161338450203
90800,-270.94514288037084
91200,-219.97843892654447
91600,-256.2801312078654
92000,-216.3367778832635
92400,-311.5390122297155
92800,-176.1048899392354
93200,-123.62464344429569
93600,-200.46752067688124
94000,-273.4104110747225
94400,-201.92313278408838
94800,-254.39179737497528
95200,-92.79056698098319
95600,-178.45043154367727
96000,-114.7571752648015
96400,-293.7442044063578
96800,-300.933673882043
97200,-115.95511541913666
97600,-328.0945091695701
98000,-278.15702608298875
98400,-203.92383891428315
98800,-181.40313364142798
99200,-84.31871753222465
99600,-178.69735915892176
100000,-308.65823065911786
