timestep,average_reward
400,-37.25486351706654
800,-39.03110233505704
1200,-387.07490506198087
1600,-124.01007635017336
2000,-314.6280220723132
2400,-331.6505570854892
2800,-127.27330112017191
3200,-360.3295933037291
3600,-640.5340031323335
4000,-515.7365289155741
4400,-554.2609244643614
4800,-516.7270394358384
5200,-627.940524837245
5600,-506.61893173493246
6000,-3.4010313413975264
6400,-11.650205549797864
6800,-13.667707029137278
7200,-12.028175671780776
7600,-3.8263253662752317
8000,-16.22331720543384
8400,-1.9585122972191882
8800,-6.375922289714554
9200,-3.9562041679865962
9600,-4.854113796286871
10000,-2.198306780058676
10400,-2.046330103513368
10800,-9.325797472155674
11200,-2.926506100363032
11600,-9.222521120235003
12000,-2.161193646325147
12400,-11.706155683075307
12800,-3.616478190940931
13200,-9.208832408235757
13600,-2.1167862817298793
14000,-9.93664494362121
14400,-1.6621015070777232
14800,-2.2360385953482886
15200,-9.319298697173892
15600,-2.303628578238133
16000,-2.088144231730381
16400,-5.975737465937943
16800,-1.957655138117551
17200,-8.60777393527049
17600,-12.029090566464982
18000,-4.96784700057352
18400,-2.102008116711213
18800,-10.140054987627135
19200,-14.180900152400943
19600,-6.903647746067528
20000,-7.365211684447718
20400,-2.051056817194307
20800,-17.14638953449523
21200,-2.1373658828014657
21600,-17.267692758424715
22000,-2.2714374086176417
22400,-14.117981784817442
22800,-19.008684621416467
23200,-1.9521333251638209
23600,-2.310623719941789
24000,-4.673615732946967
24400,-2.914087544573509
24800,-2.080661766124451
25200,-2.0056559511069056
25600,-10.345535181807447
26000,-2.4794667359058424
26400,-3.1931103758206065
26800,-2.537842064054063
27200,-18.284584255234503
27600,-29.298058694768027
28000,-2.0788136326431057
28400,-12.771109226264
28800,-15.61760891416214
29200,-5.446607915005717
29600,-1.7130138119038143
30000,-2.1040165083450764
30400,-10.12603062772399
30800,-16.697327474189123
31200,-1.6722873074577487
31600,-16.246101798982778
32000,-1.4882024949684705
32400,-2.976220362750433
32800,-1.1006220223819059
33200,-3.790264591462625
33600,-1.8029916882966341
34000,-1.5210988902040308
34400,-2.3078170734517762
34800,-5.0861942689371755
35200,-1.61303011849716
35600,-7.938620944076962
36000,-1.4679081218025687
36400,-3.8493891133907665
36800,-1.5465303825168786
37200,-3.8143698126474974
37600,-3.4329489968990914
38000,-9.286705679987504
38400,-1.488777512437952
38800,-1.2822231199663798
39200,-1.5552444136856913
39600,-4.229434540435917
40000,-9.190318809725431
40400,-9.169091349744969
40800,-5.664531655205036
41200,-1.5091922156387205
41600,-7.508676141236741
42000,-3.8696782663448483
42400,-5.212433526996947
42800,-5.140445720314272
43200,-1.1275901776216226
43600,-6.753884776526985
44000,-7.828768045201606
44400,-6.536253285524896
44800,-10.318275782243836
45200,-8.69876567386557
45600,-7.306329551002184
46000,-5.468613855899001
46400,-3.926873634939217
46800,-1.6473091526811634
47200,-1.5660181790700147
47600,-10.714918025942609
48000,-4.52726763011222
48400,-1.557992970657859
48800,-6.902334515606233
49200,-1.4667300036733735
49600,-11.126399190002605
50000,-1.5031265507406704
50400,-1.0719143334297208
50800,-10.829894862272582
51200,-1.4638505463722904
51600,-1.7937275167182656
52000,-1.2802941007437127
52400,-1.3525129550696104
52800,-7.142404652885017
53200,-1.1000865018736528
53600,-3.815914303038603
54000,-8.419456625202473
54400,-9.269931100437736
54800,-1.2712648714811319
55200,-4.618537893487867
55600,-4.744242839570174
56000,-6.444873501346914
56400,-3.8330850205190434
56800,-3.415980310260198
57200,-11.741774087184288
57600,-4.947976258287247
58000,-1.195123724610533
58400,-9.200376471966758
58800,-2.9772315487347045
59200,-1.3383869936547206
59600,-1.6986100258909438
60000,-4.171593155680764
60400,-1.3093298354242264
60800,-9.328157268356593
61200,-1.0447469624611265
61600,-13.118812584058826
62000,-6.22844646251457
62400,-13.58426934344972
62800,-8.048442923037994
63200,-10.301761744595499
63600,-1.2947076422278112
64000,-1.247475574988513
64400,-12.263956772946829
64800,-10.1112065005443
65200,-4.955888543442754
65600,-4.191639616951805
66000,-1.0166422389132712
66400,-1.1994912291795223
66800,-1.0969968143756887
67200,-1.5294649120191577
67600,-1.8787844659384136
68000,-3.6808847800003432
68400,-10.00499636745038
68800,-3.3102868547527295
69200,-1.3562709455971345
69600,-6.590226429522997
70000,-8.021235994626899
70400,-2.8964225117604148
70800,-1.702945734007624
71200,-11.354108743417816
71600,-1.1304308448289953
72000,-4.580337370544428
72400,-1.1982590800227684
72800,-3.442814898709271
73200,-7.778167135103604
73600,-1.2417597683945005
74000,-3.9986996521826326
74400,-1.1946218140183957
74800,-3.0176710368798587
75200,-1.3030585896379048
75600,-2.8643895604948484
76000,-2.934647118012323
76400,-3.388164259638795
76800,-2.655437507852087
77200,-1.136106050003003
77600,-9.324005797910838
78000,-1.170927363667408
78400,-1.1214950377836326
78800,-8.780740999047474
79200,-1.5706098295777102
79600,-1.203495290533816
80000,-4.77083488387679
80400,-1.2391055010882086
80800,-1.8947172606858609
81200,-1.3012942909482197
81600,-1.4296018802028407
82000,-4.156592740107274
82400,-10.271707017911213
82800,-1.8960277288409253
83200,-5.453003962474792
83600,-1.1108478336819594
84000,-1.7034909093432145
84400,-1.3155173789522372
84800,-14.204694247546328
85200,-13.078409996101403
85600,-1.2159883705106802
86000,-9.059036997351729
86400,-1.375682965935068
86800,-3.986688585314492
87200,-1.500955769227631
87600,-2.130391561130325
88000,-1.8686714710834327
88400,-6.046783346628399
88800,-11.720459974997986
89200,-4.498345226249827
89600,-1.7773427406044227
90000,-1.3233033110883707
90400,-1.5752941549955588
90800,-1.2426608309484761
91200,-3.892441865067579
91600,-1.546721072822774
92000,-9.552159523305706
92400,-9.538946549121281
92800,-5.0549491456072415
93200,-9.076001386395976
93600,-5.062794257077883
94000,-5.662624270007817
94400,-10.491169695459236
94800,-1.3948191335446316
95200,-11.68420296033752
95600,-1.279264196919077
96000,-6.773660595784219
96400,-1.4483414531418684
96800,-1.153650299972637
97200,-1.80904791804964
97600,-1.3396932816477594
98000,-1.297531844217398
98400,-12.857226159730194
98800,-0.9306473874355424
99200,-1.2512707374092138
99600,-9.594030171423967
100000,-4.40744092727324
