timestep,average_reward
3200,-1248.0169846879983
6400,-3758.03859213894
9600,-8.401913559557983
12800,-2.3987702463459177
16000,-1.7106516160403271
19200,-2.173110196527239
22400,-2.3401702401465747
25600,-1.8844955703850388
28800,-2.2894157968222304
32000,-2.254513877491122
35200,-2.0638303880606554
38400,-2.2284231777671857
41600,-2.1975777260904383
44800,-2.0015878205325026
48000,-2.198768620245673
51200,-2.7713304080840624
54400,-2.7468071953350255
57600,-2.703237471643939
60800,-1.9380589926774023
64000,-2.9034478792819196
67200,-2.2493173407059355
70400,-2.012984287186799
73600,-2.327121818769092
76800,-2.0490554040447013
80000,-2.0946599710103357
83200,-2.880037202603775
86400,-2.129761033263052
89600,-2.151581209916101
92800,-2.5071208319631944
96000,-3.055927921018169
99200,-2.813263260418146
