timestep,average_reward
800,-478.6372715051093
1600,-325.05230315699333
2400,-671.6863167373491
3200,-654.038962096601
4000,-683.585129460644
4800,-532.4858315757464
5600,-465.07526740572825
6400,-652.4883559914274
7200,-177.03623656154582
8000,-154.27670845159895
8800,-540.2931370214525
9600,-273.5610209585711
10400,-153.8914482075016
11200,-648.5959910807528
12000,-687.1982959830619
12800,-488.2251487312255
13600,-646.2733982827029
14400,-181.36417870240265
15200,-606.886381454058
16000,-536.9551019594868
16800,-614.6035375536901
17600,-235.48434515160938
18400,-238.11960603548457
19200,-345.68595559328185
20000,-541.0742578619231
20800,-264.7906808343169
21600,-573.8433244027061
22400,-449.6830633718491
23200,-502.7790749725738
24000,-669.4546943547945
24800,-448.69402616703127
25600,-393.38584215237097
26400,-57.36556526144799
27200,-75.66656045070164
28000,-429.4490309175841
28800,-494.6934905629275
29600,-438.3004573314254
30400,-465.4225102079381
31200,-549.5998984537399
32000,-667.9522897959498
32800,-248.53385896129186
33600,-656.7963108250651
34400,-243.0193164971128
35200,-663.2393880575917
36000,-330.97295562450773
36800,-512.4642198453353
37600,-601.4239639947352
38400,-198.94383295526885
39200,-44.938937023881245
40000,-552.0149806431053
40800,-475.00491735733004
41600,-217.82517599870863
42400,-168.29644817426882
43200,-486.4262666946913
44000,-470.081626628675
44800,-213.69422060135028
45600,-636.5341525793015
46400,-203.22969116709245
47200,-546.4208674942504
48000,-623.2806536739826
48800,-469.91974810023385
49600,-536.0414935691404
50400,-624.0033682241287
51200,-545.7283666447992
52000,-655.8967665423771
52800,-100.27813836306399
53600,-210.71729651873932
54400,-496.3373593739862
55200,-159.3188062292045
56000,-603.6356622104264
56800,-223.90240565181247
57600,-608.6149542418635
58400,-672.8113515517871
59200,-151.48343422184405
60000,-466.43082644005233
60800,-573.0524090226371
61600,-142.73893757429042
62400,-114.58264956412827
63200,-665.8117014478978
64000,-613.0718579173922
64800,-629.8686151951587
65600,-447.80720753741747
66400,-673.0948784330998
67200,-690.0162586041511
68000,-577.9012997384452
68800,-198.14479300321346
69600,-158.8132324827016
70400,-674.1002025652808
71200,-307.06294796261807
72000,-479.80388059910365
72800,-575.3777023663126
73600,-108.38208876711556
74400,-375.38750307024435
75200,-71.00169031219963
76000,-538.8652023768078
76800,-141.16692618443923
77600,-587.9366391495295
78400,-657.8264182523526
79200,-550.0400765439932
80000,-537.9996772545366
80800,-216.9593209207235
81600,-278.75974591658417
82400,-293.4999569369618
83200,-380.6344783699744
84000,-199.56665313941375
84800,-430.7732760430884
85600,-670.56200992604
86400,-677.3408978026482
87200,-523.1259193108236
88000,-237.58074012334248
88800,-330.6079313347295
89600,-146.57731410937743
90400,-497.06817770504057
91200,-192.41790367112765
92000,-177.52394035432982
92800,-584.9501843478836
93600,-388.43953341940863
94400,-373.8364871869531
95200,-185.98144056541497
96000,-362.2435740831103
96800,-430.035858154698
97600,-667.2780098273454
98400,-74.0463151389514
99200,-551.4091903656365
100000,-458.65214529534865
100800,-173.902964455967
101600,-656.2414878949012
102400,-162.5112491143379
103200,-139.3850707108237
104000,-98.851402993554
104800,-626.9896407308767
105600,-479.7299301685287
106400,-355.05841578609727
107200,-68.07070259162658
108000,-294.3147647178336
108800,-149.22738589655313
109600,-222.64022790055688
110400,-441.09797076416237
111200,-545.0060669048123
112000,-469.740647867597
112800,-487.4349951370464
113600,-598.3547369022094
114400,-195.151216628482
